PLAYERNAME,FIRSTNAME,LASTNAME,TEAM,POS,ESPNID,ESPNNAME,BATS,IDPLAYER
Devon Travis,Devon,Travis,TOR,2B,32938,Devon Travis,R,travide01
Troy Tulowitzki,Troy,Tulowitzki,TOR,SS,28567,Troy Tulowitzki,R,tulowtr01
Melvin Upton,Melvin,Upton,TOR,OF,5970,Melvin Upton,R,uptonbj01
Wilmer Difo,Wilmer,Difo,WAS,2B,33659,Wilmer Difo,B,difowi01
Stephen Drew,Stephen,Drew,WAS,2B,6298,Stephen Drew,L,drewst01
Adam Eaton,Adam,Eaton,WAS,OF,32068,Adam Eaton,L,eatonad02
Bryce Harper,Bryce,Harper,WAS,OF,30951,Bryce Harper,L,harpebr03
Chris Heisey,Chris,Heisey,WAS,OF,30519,Chris Heisey,R,heisech01
Corban Joseph,Corban,Joseph,WAS,2B,31250,Corban Joseph,L,josepco01
Adam Lind,Adam,Lind,WAS,1B,28579,Adam Lind,L,lindad01
Jose Lobaton,Jose,Lobaton,WAS,C,29710,Jose Lobaton,B,lobatjo01
Daniel Murphy,Daniel,Murphy,WAS,2B,29200,Daniel Murphy,L,murphda08
Anthony Rendon,Anthony,Rendon,WAS,3B,32098,Anthony Rendon,R,rendoan01
Clint Robinson,Clint,Robinson,WAS,1B,,,L,robincl01
Victor Robles,Victor,Robles,WAS,OF,35042,Victor Robles,R,roblevi01
Pedro Severino,Pedro,Severino,WAS,C,33299,Pedro Severino,R,severpe01
Brandon Snyder,Brandon,Snyder,WAS,3B,30124,Brandon Snyder,R,snydebr03
Juan Soto,Juan,Soto,WAS,OF,,,L,sotoju01
Michael Taylor,Michael,Taylor,WAS,OF,32219,Michael Taylor,R,taylomi02
Trea Turner,Trea,Turner,WAS,2B,33710,Trea Turner,R,turnetr01
Jayson Werth,Jayson,Werth,WAS,OF,4262,Jayson Werth,R,werthja01
Matt Wieters,Matt,Wieters,WAS,C,29287,Matt Wieters,B,wietema01
Ryan Zimmerman,Ryan,Zimmerman,WAS,1B,6389,Ryan Zimmerman,R,zimmery01
