IDPLAYER,PLAYERNAME,FIRSTNAME,LASTNAME,TEAM,POS,ESPNID,ESPNNAME,THROWS
cedenxa01,Xavier Cedeno,Xavier,Cedeno,TB,P,32028,Xavier Cedeno,L
cessalu01,Luis Cessa,Luis,Cessa,NYY,P,34837,Luis Cessa,R
chacijh01,Jhoulys Chacin,Jhoulys,Chacin,SD,P,30147,Jhoulys Chacin,R
chafian01,Andrew Chafin,Andrew,Chafin,ARI,P,32810,Andrew Chafin,L
chambjo03,Joba Chamberlain,Joba,Chamberlain,N/A,P,28847,Joba Chamberlain,R
chapmar01,Aroldis Chapman,Aroldis,Chapman,NYY,P,30442,Aroldis Chapman,L
chargjt01,J.T. Chargois,J.T.,Chargois,MIN,P,,,R
chatwty01,Tyler Chatwood,Tyler,Chatwood,COL,P,30564,Tyler Chatwood,R
chaveje01,Jesse Chavez,Jesse,Chavez,LAA,P,29220,Jesse Chavez,R
chenbr01,Bruce Chen,Bruce,Chen,N/A,P,3926,Bruce Chen,L
chenwe02,Wei-Yin Chen,Wei-Yin,Chen,MIA,P,32048,Wei-Yin Chen,L
choatra01,Randy Choate,Randy,Choate,N/A,P,4440,Randy Choate,L
chulkvi01,Vinnie Chulk,Vinnie,Chulk,N/A,P,5417,Vinnie Chulk,R
cingrto01,Tony Cingrani,Tony,Cingrani,CIN,P,32135,Tony Cingrani,L
cishest01,Steve Cishek,Steve,Cishek,SEA,P,30963,Steve Cishek,R
clemepa02,Paul Clemens,Paul,Clemens,N/A,P,31609,Paul Clemens,R
cletoma01,Maikel Cleto,Maikel,Cleto,N/A,P,30967,Maikel Cleto,R
clevimi01,Mike Clevinger,Mike,Clevinger,CLE,P,32769,Mike Clevinger,R
clippty01,Tyler Clippard,Tyler,Clippard,NYY,P,28694,Tyler Clippard,R
cloydty01,Tyler Cloyd,Tyler,Cloyd,N/A,P,32578,Tyler Cloyd,R
cobbal01,Alex Cobb,Alex,Cobb,TB,P,31086,Alex Cobb,R
coellro01,Robert Coello,Robert,Coello,N/A,P,30958,Robert Coello,R
cokeph01,Phil Coke,Phil,Coke,N/A,P,29235,Phil Coke,L
coleaj01,A.J. Cole,A.J.,Cole,WAS,P,31595,A.J. Cole,R
colege01,Gerrit Cole,Gerrit,Cole,PIT,P,32081,Gerrit Cole,R
colemlo01,Louis Coleman,Louis,Coleman,N/A,P,31115,Louis Coleman,R
colliti01,Tim Collins,Tim,Collins,WAS,P,30995,Tim Collins,L
collmjo01,Josh Collmenter,Josh,Collmenter,ATL,P,31090,Josh Collmenter,R
colomal01,Alex Colome,Alex,Colome,TB,P,31255,Alex Colome,R
colonba01,Bartolo Colon,Bartolo,Colon,ATL,P,3602,Bartolo Colon,R
conlead01,Adam Conley,Adam,Conley,MIA,P,32669,Adam Conley,L
contrjo01,Jose Contreras,Jose,Contreras,N/A,P,5373,Jose Contreras,R
cookaa01,Aaron Cook,Aaron,Cook,N/A,P,4762,Aaron Cook,R
cookry01,Ryan Cook,Ryan,Cook,N/A,P,31532,Ryan Cook,R
cooneti01,Tim Cooney,Tim,Cooney,CLE,P,33159,Tim Cooney,L
corbipa01,Patrick Corbin,Patrick,Corbin,ARI,P,31313,Patrick Corbin,L
cordefr01,Francisco Cordero,Francisco,Cordero,N/A,P,4139,Francisco Cordero,R
correke01,Kevin Correia,Kevin,Correia,N/A,P,5580,Kevin Correia,R
cosarja01,Jarred Cosart,Jarred,Cosart,SD,P,31096,Jarred Cosart,R
cothaca01,Caleb Cotham,Caleb,Cotham,N/A,P,33897,Caleb Cotham,R
cottojh01,Jharel Cotton,Jharel,Cotton,OAK,P,34052,Jharel Cotton,R
cottsne01,Neal Cotts,Neal,Cotts,N/A,P,5644,Neal Cotts,L
crainje01,Jesse Crain,Jesse,Crain,N/A,P,5905,Jesse Crain,R
cravyty01,Tyler Cravy,Tyler,Cravy,MIL,P,33824,Tyler Cravy,R
crawfev01,Evan Crawford,Evan,Crawford,N/A,P,31546,Evan Crawford,L
crickky01,Kyle Crick,Kyle,Crick,SF,P,32171,Kyle Crick,R
crosbca01,Casey Crosby,Casey,Crosby,N/A,P,30683,Casey Crosby,L
crowaa01,Aaron Crow,Aaron,Crow,N/A,P,30495,Aaron Crow,R
cruzrh01,Rhiner Cruz,Rhiner,Cruz,N/A,P,32118,Rhiner Cruz,R
cuetojo01,Johnny Cueto,Johnny,Cueto,SF,P,28955,Johnny Cueto,R
cumpbr01,Brandon Cumpton,Brandon,Cumpton,PIT,P,33086,Brandon Cumpton,R
danksjo01,John Danks,John,Danks,ATL,P,28508,John Danks,L
darviyu01,Yu Darvish,Yu,Darvish,TEX,P,32055,Yu Darvish,R
davieky01,Kyle Davies,Kyle,Davies,N/A,P,,,R
davieza02,Zach Davies,Zach,Davies,MIL,P,33829,Zach Davies,R
davisdo02,Doug Davis,Doug,Davis,N/A,P,,,R
daviswa01,Wade Davis,Wade,Davis,CHC,P,28957,Wade Davis,R
daytogr01,Grant Dayton,Grant,Dayton,LAD,P,32670,Grant Dayton,L
dedunsa01,Samuel Deduno,Samuel,Deduno,N/A,P,30076,Samuel Deduno,R
defraju01,Justin De Fratus,Justin,De Fratus,N/A,P,30976,Justin De Fratus,R
degroja01,Jacob deGrom,Jacob,deGrom,NYM,P,32796,Jacob deGrom,R
dejonch01,Chase De Jong,Chase,De Jong,SEA,P,,,R
delabst01,Steve Delabar,Steve,Delabar,CLE,P,32026,Steve Delabar,R
delarda01,Dane de la Rosa,Dane,de la Rosa,N/A,P,30978,Dane De La Rosa,R
delarru01,Rubby de la Rosa,Rubby,de la Rosa,ARI,P,31051,Rubby De La Rosa,R
deleojo01,Jose De Leon,Jose,De Leon,TB,P,33831,Jose De Leon,R
delgara01,Randall Delgado,Randall,Delgado,ARI,P,31093,Randall Delgado,R
delosfa01,Fautino De Los Santos,Fautino,De Los Santos,N/A,P,29481,Fautino De Los Santos,R
delroen01,Enerio Del Rosario,Enerio,Del Rosario,N/A,P,,,R
dempsry01,Ryan Dempster,Ryan,Dempster,N/A,P,3845,Ryan Dempster,R
desclan01,Anthony DeSclafani,Anthony,DeSclafani,CIN,P,33180,Anthony DeSclafani,R
despaod01,Odrisamer Despaigne,Odrisamer,Despaigne,MIA,P,33617,Odrisamer Despaigne,R
detwiro01,Ross Detwiler,Ross,Detwiler,OAK,P,28895,Ross Detwiler,L
devench02,Chris Devenski,Chris,Devenski,HOU,P,32511,Chris Devenski,R
devrico01,Cole DeVries,Cole,DeVries,N/A,P,29434,Cole De Vries,R
diamosc01,Scott Diamond,Scott,Diamond,N/A,P,30985,Scott Diamond,L
diazed04,Edwin Diaz,Edwin,Diaz,SEA,P,35394,Edwin Diaz,R
diazja01,Jairo Diaz,Jairo,Diaz,COL,P,32986,Jairo Diaz,R
diazju03,Jumbo Diaz,Jumbo,Diaz,TB,P,29839,Jumbo Diaz,R
dicker.01,R.A. Dickey,R.A.,Dickey,ATL,P,4695,R.A. Dickey,R
dicksbr01,Brandon Dickson,Brandon,Dickson,N/A,P,,,R
diekmja01,Jake Diekman,Jake,Diekman,TEX,P,32178,Jake Diekman,L
dillati01,Tim Dillard,Tim,Dillard,N/A,P,,,R
doolise01,Sean Doolittle,Sean,Doolittle,OAK,P,30283,Sean Doolittle,L
doteloc01,Octavio Dotel,Octavio,Dotel,N/A,P,3950,Octavio Dotel,R
doubrfe01,Felix Doubront,Felix,Doubront,OAK,P,30066,Felix Doubront,L
downsda02,Darin Downs,Darin,Downs,N/A,P,31076,Darin Downs,L
downssc01,Scott Downs,Scott,Downs,N/A,P,4286,Scott Downs,L
drabeky01,Kyle Drabek,Kyle,Drabek,N/A,P,29965,Kyle Drabek,R
duchsju01,Justin Duchscherer,Justin,Duchscherer,N/A,P,,,R
duensbr01,Brian Duensing,Brian,Duensing,CHC,P,28960,Brian Duensing,L
duffety01,Tyler Duffey,Tyler,Duffey,MIN,P,33668,Tyler Duffey,R
duffyda01,Danny Duffy,Danny,Duffy,KC,P,31114,Danny Duffy,L
dukeza01,Zach Duke,Zach,Duke,STL,P,6219,Zach Duke,L
dullry01,Ryan Dull,Ryan,Dull,OAK,P,33319,Ryan Dull,R
dunnmi01,Mike Dunn,Mike,Dunn,COL,P,30081,Mike Dunn,L
durbich01,Chad Durbin,Chad,Durbin,N/A,P,,,R
dysonsa01,Sam Dyson,Sam,Dyson,TEX,P,31745,Sam Dyson,R
edginjo01,Josh Edgin,Josh,Edgin,NYM,P,32198,Josh Edgin,L
edwarca01,Carl Edwards,Carl,Edwards,CHC,P,605218,Carl Edwards,R
eflinza01,Zach Eflin,Zach,Eflin,PHI,P,32804,Zach Eflin,R
eickhje01,Jerad Eickhoff,Jerad,Eickhoff,PHI,P,33057,Jerad Eickhoff,R
elbersc01,Scott Elbert,Scott,Elbert,N/A,P,28689,Scott Elbert,L
eliasro01,Roenis Elias,Roenis,Elias,BOS,P,33152,Roenis Elias,L
elyjo01,John Ely,John,Ely,N/A,P,30940,John Ely,R
enrigba01,Barry Enright,Barry,Enright,N/A,P,29791,Barry Enright,R
eovalna01,Nathan Eovaldi,Nathan,Eovaldi,NYY,P,31174,Nate Eovaldi,R
eppleco01,Cody Eppley,Cody,Eppley,N/A,P,,,R
erlinro01,Robbie Erlin,Robbie,Erlin,SD,P,31791,Robbie Erlin,L
espinan01,Anderson Espinoza,Anderson,Espinoza,SD,P,34987,Anderson Espinoza,R
estevca01,Carlos Estevez,Carlos,Estevez,COL,P,34861,Carlos Estevez,R
estrama01,Marco Estrada,Marco,Estrada,TOR,P,29215,Marco Estrada,R
familje01,Jeurys Familia,Jeurys,Familia,NYM,P,31687,Jeurys Familia,R
fariaja01,Jacob Faria,Jacob,Faria,TB,P,,,R
farmebu01,Buck Farmer,Buck,Farmer,DET,P,33627,Buck Farmer,R
farnsky01,Kyle Farnsworth,Kyle,Farnsworth,N/A,P,4049,Kyle Farnsworth,R
farquda01,Danny Farquhar,Danny,Farquhar,TB,P,30611,Danny Farquhar,R
feddeer01,Erick Fedde,Erick,Fedde,WAS,P,,,R
feldmsc01,Scott Feldman,Scott,Feldman,CIN,P,6384,Scott Feldman,R
felicpe01,Pedro Feliciano,Pedro,Feliciano,N/A,P,5314,Pedro Feliciano,L
felizmi01,Michael Feliz,Michael,Feliz,HOU,P,33235,Michael Feliz,R
felizne01,Neftali Feliz,Neftali,Feliz,MIL,P,30149,Neftali Feliz,R
fernajo01,Jose Fernandez,Jose,Fernandez,N/A,P,32567,Jose Fernandez,R
fickch01,Chuckie Fick,Chuckie,Fick,N/A,P,,,R
fieldjo03,Josh Fields,Josh,Fields,LAD,P,30213,Josh Fields,R
fienca01,Casey Fien,Casey,Fien,SEA,P,29376,Casey Fien,R
fiersmi01,Mike Fiers,Mike,Fiers,HOU,P,30773,Mike Fiers,R
fifest01,Stephen Fife,Stephen,Fife,N/A,P,32038,Stephen Fife,R
figuepe01,Pedro Figueroa,Pedro,Figueroa,N/A,P,30558,Pedro Figueroa,L
finnebr01,Brandon Finnegan,Brandon,Finnegan,CIN,P,33633,Brandon Finnegan,L
fistedo01,Doug Fister,Doug,Fister,N/A,P,30370,Doug Fister,R
floydga01,Gavin Floyd,Gavin,Floyd,N/A,P,5922,Gavin Floyd,R
flynnbr01,Brian Flynn,Brian,Flynn,KC,P,32671,Brian Flynn,L
foltymi01,Mike Foltynewicz,Mike,Foltynewicz,ATL,P,31819,Mike Foltynewicz,R
fontwi01,Wilmer Font,Wilmer,Font,N/A,P,31075,Wilmer Font,R
francfr01,Frank Francisco,Frank,Francisco,N/A,P,5963,Frank Francisco,R
francje01,Jeff Francis,Jeff,Francis,N/A,P,6038,Jeff Francis,L
frankry01,Ryan Franklin,Ryan,Franklin,N/A,P,4064,Ryan Franklin,R
frasoja01,Jason Frasor,Jason,Frasor,N/A,P,5938,Jason Frasor,R
freelky01,Kyle Freeland,Kyle,Freeland,COL,P,,,L
freemsa01,Sam Freeman,Sam,Freeman,ATL,P,32075,Sam Freeman,L
friasca01,Carlos Frias,Carlos,Frias,LAD,P,33272,Carlos Frias,R
friedch01,Christian Friedrich,Christian,Friedrich,SD,P,30603,Christian Friedrich,L
frierer01,Ernesto Frieri,Ernesto,Frieri,N/A,P,29984,Ernesto Frieri,R
fuentbr01,Brian Fuentes,Brian,Fuentes,N/A,P,,,L
fujikky01,Kyuji Fujikawa,Kyuji,Fujikawa,N/A,P,32583,Kyuji Fujikawa,R
fulmeca01,Carson Fulmer,Carson,Fulmer,CHW,P,34913,Carson Fulmer,R
fulmemi01,Michael Fulmer,Michael,Fulmer,DET,P,34842,Michael Fulmer,R
furbuch01,Charlie Furbush,Charlie,Furbush,N/A,P,31589,Charlie Furbush,L
galarar01,Armando Galarraga,Armando,Galarraga,N/A,P,,,R
gallayo01,Yovani Gallardo,Yovani,Gallardo,SEA,P,28650,Yovani Gallardo,R
garcich02,Christian Garcia,Christian,Garcia,N/A,P,30080,Christian Garcia,R
garcifr03,Freddy Garcia,Freddy,Garcia,N/A,P,4007,Freddy Garcia,R
garcija02,Jaime Garcia,Jaime,Garcia,ATL,P,29185,Jaime Garcia,L
garciyi01,Yimi Garcia,Yimi,Garcia,LAD,P,32888,Yimi Garcia,R
garlajo01,Jon Garland,Jon,Garland,N/A,P,,,R
garream01,Amir Garrett,Amir,Garrett,CIN,P,,,L
garzama01,Matt Garza,Matt,Garza,MIL,P,28528,Matt Garza,R
gaudich01,Chad Gaudin,Chad,Gaudin,N/A,P,5627,Chad Gaudin,R
gausmke01,Kevin Gausman,Kevin,Gausman,BAL,P,32667,Kevin Gausman,R
gearrco01,Cory Gearrin,Cory,Gearrin,SF,P,30665,Cory Gearrin,R
geedi01,Dillon Gee,Dillon,Gee,TEX,P,30139,Dillon Gee,R
geltzst01,Steve Geltz,Steve,Geltz,MIL,P,31393,Steven Geltz,R
germego01,Gonzalez Germen,Gonzalez,Germen,N/A,P,33076,Gonzalez Germen,R
gibsoky01,Kyle Gibson,Kyle,Gibson,MIN,P,31053,Kyle Gibson,R
gileske01,Ken Giles,Ken,Giles,HOU,P,32762,Ken Giles,R
giolilu01,Lucas Giolito,Lucas,Giolito,CHW,P,32697,Lucas Giolito,R
givenmy01,Mychal Givens,Mychal,Givens,BAL,P,31618,Mychal Givens,R
glasnty01,Tyler Glasnow,Tyler,Glasnow,PIT,P,33190,Tyler Glasnow,R
gloveko01,Koda Glover,Koda,Glover,WAS,P,,,R
godfrgr01,Graham Godfrey,Graham,Godfrey,N/A,P,,,R
gomezje01,Jeanmar Gomez,Jeanmar,Gomez,PHI,P,30525,Jeanmar Gomez,R
gonsast01,Stephen Gonsalves,Stephen,Gonsalves,MIN,P,,,L
gonzach01,Chi Chi Gonzalez,Chi,Chi Gonzalez,TEX,P,33386,Chi Chi Gonzalez,R
gonzagi01,Gio Gonzalez,Gio,Gonzalez,WAS,P,28962,Gio Gonzalez,L
gonzama02,Marco Gonzales,Marco,Gonzales,STL,P,33158,Marco Gonzales,L
gonzami02,Michael Gonzalez,Michael,Gonzalez,N/A,P,5642,Mike Gonzalez,L
gonzami03,Miguel Gonzalez,Miguel,Gonzalez,CHW,P,29310,Miguel Gonzalez,R
gonzami05,Miguel A. Gonzalez,Miguel,A. Gonzalez,N/A,P,33093,Miguel Alfredo Gonzalez,R
gonzase01,Severino Gonzalez,Severino,Gonzalez,MIA,P,33238,Severino Gonzalez,R
gorskda01,Darin Gorski,Darin,Gorski,N/A,P,32240,Darin Gorski,L
gorzeto01,Tom Gorzelanny,Tom,Gorzelanny,N/A,P,6449,Tom Gorzelanny,L
graveke01,Kendall Graveman,Kendall,Graveman,OAK,P,33636,Kendall Graveman,R
grayjo02,Jon Gray,Jon,Gray,COL,P,33203,Jon Gray,R
grayso01,Sonny Gray,Sonny,Gray,OAK,P,32082,Sonny Gray,R
greench03,Chad Green,Chad,Green,NYY,P,33325,Chad Green,R
greensh02,Shane Greene,Shane,Greene,DET,P,32704,Shane Greene,L
gregelu01,Luke Gregerson,Luke,Gregerson,HOU,P,30276,Luke Gregerson,R
greggke01,Kevin Gregg,Kevin,Gregg,N/A,P,5641,Kevin Gregg,R
greinza01,Zack Greinke,Zack,Greinke,ARI,P,5883,Zack Greinke,R
griffaj01,A.J. Griffin,A.J.,Griffin,TEX,P,32559,A.J. Griffin,R
grillja01,Jason Grilli,Jason,Grilli,TOR,P,4350,Jason Grilli,R
grimmju01,Justin Grimm,Justin,Grimm,CHC,P,31753,Justin Grimm,R
groomja01,Jason Groome,Jason,Groome,BOS,P,,,L
gsellro01,Robert Gsellman,Robert,Gsellman,NYM,P,34872,Robert Gsellman,R
guerrja01,Javy Guerra,Javy,Guerra,MIA,P,30505,Javy Guerra,R
guerrju02,Junior Guerra,Junior,Guerra,MIL,P,34241,Junior Guerra,R
guerrma02,Matt Guerrier,Matt,Guerrier,N/A,P,5998,Matt Guerrier,R
guerrta02,Taylor Guerrieri,Taylor,Guerrieri,TB,P,32167,Taylor Guerrieri,R
guthrje01,Jeremy Guthrie,Jeremy,Guthrie,N/A,P,5370,Jeremy Guthrie,R
gutievl01,Vladimir Gutierrez,Vladimir,Gutierrez,CIN,P,,,R
haderjo01,Josh Hader,Josh,Hader,MIL,P,,,L
hagadni01,Nick Hagadone,Nick,Hagadone,SEA,P,29992,Nick Hagadone,L
hahnje01,Jesse Hahn,Jesse,Hahn,OAK,P,33108,Jesse Hahn,R
haleda01,David Hale,David,Hale,N/A,P,32601,David Hale,R
hallaro01,Roy Halladay,Roy,Halladay,N/A,P,3973,Roy Halladay,R
hamelco01,Cole Hamels,Cole,Hamels,TEX,P,6216,Cole Hamels,L
hammeja01,Jason Hammel,Jason,Hammel,KC,P,6480,Jason Hammel,R
handbr01,Brad Hand,Brad,Hand,SD,P,31077,Brad Hand,L
hanrajo01,Joel Hanrahan,Joel,Hanrahan,N/A,P,28715,Joel Hanrahan,R
hanseal01,Alec Hansen,Alec,Hansen,CHW,P,,,R
hansoto01,Tommy Hanson,Tommy,Hanson,N/A,P,30191,Tommy Hanson,R
happja01,J.A. Happ,J.A.,Happ,TOR,P,28817,J.A. Happ,L
haranaa01,Aaron Harang,Aaron,Harang,N/A,P,5181,Aaron Harang,R
harderi01,Rich Harden,Rich,Harden,N/A,P,,,R
harenda01,Dan Haren,Dan,Haren,N/A,P,5565,Dan Haren,R
harrelu01,Lucas Harrell,Lucas,Harrell,N/A,P,29937,Lucas Harrell,R
harrima01,Matt Harrison,Matt,Harrison,N/A,P,28965,Matt Harrison,L
harriwi10,Will Harris,Will,Harris,HOU,P,32566,Will Harris,R
harvehu01,Hunter Harvey,Hunter,Harvey,BAL,P,33191,Hunter Harvey,R
harvema01,Matt Harvey,Matt,Harvey,NYM,P,31214,Matt Harvey,R
hatchch02,Chris Hatcher,Chris,Hatcher,LAD,P,30648,Chris Hatcher,R
hawkila01,LaTroy Hawkins,LaTroy,Hawkins,N/A,P,3176,LaTroy Hawkins,R
heanean01,Andrew Heaney,Andrew,Heaney,LAA,P,32672,Andrew Heaney,L
hefneje01,Jeremy Hefner,Jeremy,Hefner,N/A,P,30870,Jeremy Hefner,R
hellije01,Jeremy Hellickson,Jeremy,Hellickson,PHI,P,30506,Jeremy Hellickson,R
hembrhe01,Heath Hembree,Heath,Hembree,BOS,P,31840,Heath Hembree,R
hendeji01,Jim Henderson,Jim,Henderson,N/A,P,31169,Jim Henderson,R
hendrky01,Kyle Hendricks,Kyle,Hendricks,CHC,P,33173,Kyle Hendricks,R
hendrli01,Liam Hendriks,Liam,Hendriks,OAK,P,31755,Liam Hendriks,R
henslcl01,Clay Hensley,Clay,Hensley,N/A,P,,,R
hernada01,David Hernandez,David,Hernandez,N/A,P,30058,David Hernandez,R
hernafe02,Felix Hernandez,Felix,Hernandez,SEA,P,6194,Felix Hernandez,R
hernali01,Livan Hernandez,Livan,Hernandez,N/A,P,,,R
herreke01,Kelvin Herrera,Kelvin,Herrera,KC,P,32029,Kelvin Herrera,R
hestoch01,Chris Heston,Chris,Heston,SEA,P,32611,Chris Heston,R
hillri01,Rich Hill,Rich,Hill,LAD,P,,,L
hillsh01,Shawn Hill,Shawn,Hill,N/A,P,,,R
hinojda01,Dalier Hinojosa,Dalier,Hinojosa,PHI,P,33275,Dalier Hinojosa,R
hochelu01,Luke Hochevar,Luke,Hochevar,N/A,P,28643,Luke Hochevar,R
hoffmje02,Jeff Hoffman,Jeff,Hoffman,COL,P,33841,Jeff Hoffman,R
hoffmtr01,Trevor Hoffman,Trevor,Hoffman,N/A,P,2817,Trevor Hoffman,R
hollade01,Derek Holland,Derek,Holland,CHW,P,30148,Derek Holland,L
hollagr01,Greg Holland,Greg,Holland,COL,P,30945,Greg Holland,R
holmegr01,Grant Holmes,Grant,Holmes,OAK,P,33840,Grant Holmes,R
honeybr01,Brent Honeywell,Brent,Honeywell,TB,P,33838,Brent Honeywell,R
hoovejj01,J.J. Hoover,J.J.,Hoover,ARI,P,32557,J.J. Hoover,R
horstje01,Jeremy Horst,Jeremy,Horst,N/A,P,31071,Jeremy Horst,L
housetj01,T.J. House,T.J.,House,TOR,P,32610,T.J. House,L
howeljp01,J.P. Howell,J.P.,Howell,TOR,P,6312,J.P. Howell,L
hoytja01,James Hoyt,James,Hoyt,HOU,P,,,R
hudsoda01,Daniel Hudson,Daniel,Hudson,PIT,P,30376,Daniel Hudson,R
hudsoti01,Tim Hudson,Tim,Hudson,N/A,P,4084,Tim Hudson,R
huffda01,David Huff,David,Huff,N/A,P,30127,David Huff,L
hugheja02,Jared Hughes,Jared,Hughes,PIT,P,31556,Jared Hughes,R
hugheph01,Phil Hughes,Phil,Hughes,MIN,P,28638,Phil Hughes,R
hultzda01,Danny Hultzen,Danny,Hultzen,N/A,P,32023,Danny Hultzen,L
humbeph01,Philip Humber,Philip,Humber,N/A,P,28596,Philip Humber,R
hunteto02,Tommy Hunter,Tommy,Hunter,N/A,P,29198,Tommy Hunter,R
hutchdr01,Drew Hutchison,Drew,Hutchison,PIT,P,31462,Drew Hutchison,R
igarary01,Ryota Igarashi,Ryota,Igarashi,N/A,P,,,R
iglesra01,Raisel Iglesias,Raisel,Iglesias,CIN,P,33618,Raisel Iglesias,R
isrinja01,Jason Isringhausen,Jason,Isringhausen,N/A,P,3289,Jason Isringhausen,R
iwakuhi01,Hisashi Iwakuma,Hisashi,Iwakuma,SEA,P,30965,Hisashi Iwakuma,R
jacksed01,Edwin Jackson,Edwin,Jackson,N/A,P,5842,Edwin Jackson,R
janseke01,Kenley Jansen,Kenley,Jansen,LAD,P,29630,Kenley Jansen,R
janssca01,Casey Janssen,Casey,Janssen,N/A,P,6526,Casey Janssen,R
jeffrje01,Jeremy Jeffress,Jeremy,Jeffress,TEX,P,30954,Jeremy Jeffress,R
jenkich01,Chad Jenkins,Chad,Jenkins,N/A,P,30612,Chad Jenkins,R
jenksbo01,Bobby Jenks,Bobby,Jenks,N/A,P,,,R
jennida01,Dan Jennings,Dan,Jennings,CHW,P,30555,Dan Jennings,L
jepseke01,Kevin Jepsen,Kevin,Jepsen,N/A,P,29265,Kevin Jepsen,R
jimenjo01,Joe Jimenez,Joe,Jimenez,DET,P,,,R
jimenub01,Ubaldo Jimenez,Ubaldo,Jimenez,BAL,P,28625,Ubaldo Jimenez,R
johnsbr02,Brian Johnson,Brian,Johnson,BOS,P,34400,Brian Johnson,L
johnser04,Erik Johnson,Erik,Johnson,SD,P,32176,Erik Johnson,R
johnsji04,Jim Johnson,Jim,Johnson,ATL,P,28531,Jim Johnson,R
johnsjo09,Josh Johnson,Josh,Johnson,N/A,P,6435,Josh Johnson,R
johnsst02,Steve Johnson,Steve,Johnson,N/A,P,30391,Steve Johnson,R
jonesna01,Nate Jones,Nate,Jones,CHW,P,31136,Nate Jones,R
jordata01,Taylor Jordan,Taylor,Jordan,N/A,P,31701,Taylor Jordan,R
jungmta01,Taylor Jungmann,Taylor,Jungmann,MIL,P,32045,Taylor Jungmann,R
juradar01,Ariel Jurado,Ariel,Jurado,TEX,P,,,R
jurrjja01,Jair Jurrjens,Jair,Jurrjens,N/A,P,28854,Jair Jurrjens,R
kaprija01,James Kaprielian,James,Kaprielian,NYY,P,,,R
karnsna01,Nate Karns,Nate,Karns,KC,P,32607,Nathan Karns,R
karstje01,Jeff Karstens,Jeff,Karstens,N/A,P,28552,Jeff Karstens,R
kazmisc01,Scott Kazmir,Scott,Kazmir,LAD,P,5917,Scott Kazmir,L
kelake01,Keone Kela,Keone,Kela,TEX,P,33497,Keone Kela,R
kellemi01,Mitch Keller,Mitch,Keller,PIT,P,,,R
kellesh01,Shawn Kelley,Shawn,Kelley,WAS,P,30258,Shawn Kelley,R
kellyca01,Casey Kelly,Casey,Kelly,CHC,P,30520,Casey Kelly,R
kellyjo05,Joe Kelly,Joe,Kelly,BOS,P,31992,Joe Kelly,R
kendrky01,Kyle Kendrick,Kyle,Kendrick,BOS,P,28804,Kyle Kendrick,R
kenneia01,Ian Kennedy,Ian,Kennedy,KC,P,28864,Ian Kennedy,R
kershcl01,Clayton Kershaw,Clayton,Kershaw,LAD,P,28963,Clayton Kershaw,L
keuchda01,Dallas Keuchel,Dallas,Keuchel,HOU,P,31815,Dallas Keuchel,L
kimbrcr01,Craig Kimbrel,Craig,Kimbrel,BOS,P,30653,Craig Kimbrel,R
kinnejo01,Josh Kinney,Josh,Kinney,N/A,P,,,R
kintzbr01,Brandon Kintzler,Brandon,Kintzler,MIN,P,30959,Brandon Kintzler,R
kirkmmi01,Michael Kirkman,Michael,Kirkman,N/A,P,30571,Michael Kirkman,L
klubeco01,Corey Kluber,Corey,Kluber,CLE,P,30981,Corey Kluber,R
knebeco01,Corey Knebel,Corey,Knebel,MIL,P,33206,Corey Knebel,R
koehlto01,Tom Koehler,Tom,Koehler,MIA,P,31079,Tom Koehler,R
kontoge01,George Kontos,George,Kontos,SF,P,30991,George Kontos,R
kopecmi01,Michael Kopech,Michael,Kopech,CHW,P,,,R
korecbo01,Bobby Korecky,Bobby,Korecky,N/A,P,29112,Bobby Korecky,R
kuhlch01,Chad Kuhl,Chad,Kuhl,PIT,P,35021,Chad Kuhl,R
kuoho01,Hong-Chih Kuo,Hong-Chih,Kuo,N/A,P,,,L
kurodhi01,Hiroki Kuroda,Hiroki,Kuroda,N/A,P,28950,Hiroki Kuroda,R
lackejo01,John Lackey,John,Lackey,CHC,P,5203,John Lackey,R
laffeaa01,Aaron Laffey,Aaron,Laffey,N/A,P,,,L
lambjo02,John Lamb,John,Lamb,N/A,P,30994,John Lamb,
lamboan01,Andrew Lambo,Andrew,Lambo,OAK,P,31028,Andrew Lambo,L
lannajo01,John Lannan,John,Lannan,N/A,P,28834,John Lannan,L
latosma01,Mat Latos,Mat,Latos,N/A,P,30196,Mat Latos,R
lawde01,Derek Law,Derek,Law,SF,P,33139,Derek Law,R
leagubr01,Brandon League,Brandon,League,KC,P,6135,Brandon League,R
leakemi01,Mike Leake,Mike,Leake,STL,P,30465,Mike Leake,R
leblawa01,Wade LeBlanc,Wade,LeBlanc,PIT,P,29238,Wade LeBlanc,L
lecursa01,Sam LeCure,Sam,LeCure,N/A,P,30171,Sam LeCure,R
leecl02,Cliff Lee,Cliff,Lee,N/A,P,5353,Cliff Lee,L
leonedo01,Dominic Leone,Dominic,Leone,TOR,P,33155,Dominic Leone,R
lerouch01,Chris Leroux,Chris,Leroux,N/A,P,,,R
lestejo01,Jon Lester,Jon,Lester,CHC,P,28487,Jon Lester,L
lewisco01,Colby Lewis,Colby,Lewis,TEX,P,5067,Colby Lewis,R
lidgebr01,Brad Lidge,Brad,Lidge,N/A,P,,,R
lillyte01,Ted Lilly,Ted,Lilly,N/A,P,,,L
linceti01,Tim Lincecum,Tim,Lincecum,N/A,P,28705,Tim Lincecum,R
